0,,Артикул,Наименование,"РРЦ Wildberries, руб","РРЦ, руб","Кол-во в упаковке, шт","Вес, кг","Объем, м3",Штрихкод
152,,PIW1050-C,"Гайковерт сетевой PIW1050-С МАСТЕР (1050Вт, 2200 об/мин, 1/2"", 100/350Нм, ударный, наб.головок)",7155,6685,4,5.06,0.014,6971810441526
153,,PIW1100-C,"Гайковерт сетевой PIW1100-С (1100Вт, 2200 об/мин, 1/2"", 450Нм, ударный, наб.головок)",6985,6525,5,4.96,0.012,6926619713695
154,,,Дрель-шуруповерт сетевой,,,,,,
155,,PBM10-C1,"Дрель шуруповерт сетев PBM10-C1 МАСТЕР (400Вт,0-800об/мин.) P.I.T. (10шт.)",2310,2155,10,1.48,0.004,6971810440512
156,,PBM10-C2,"Дрель шуруповерт сетев PBM10-C2 МАСТЕР (400Вт, 2 скорости, 0-350/1050об/мин.) (10шт.)",2690,2510,10,1.6,0.004,6971810440529
157,,,Дрель- миксер,,,,,,
158,,PHM120-C,"Дрель-миксер PHM120-C(низкоб1050Вт,0-550об/м,рег скор,НАСАДКА,ПАТРОН16мм АНАЛОГ 1050ИНТЕРСК ) P.I.T.",6840,6390,4,5.44,0.014,6971810440161
159,,PHM150-C,"Миксер сетевой PHM150-C (1400Вт, 0-500/0-700об/мин, рег. оборотов, венчик120мм)",8240,7700,0,5.56,0.03,6971810441236
160,,PHM250-C,"Миксер строительный PHM250-С P.I.T.(1600Вт, 0-600/0-800об/мин, рег. обор, венчик 2х120мм в комплект)",12190,11390,0,8.5,0.047,6971810444947
161,,,Дрель безударная,,,,,,
162,,PBM10-D,"Дрель электр. PBM10-D СТАНДАРТ (500Вт, БЗП,реверс, регул скорости, 0-2800об/мин.) P.I.T. (10 шт.)",2165,2020,10,1.56,0.004,6971810440536
163,,PBM10-C,"Дрель электрическая PBM10-C (550Вт, БЗП, реверс, рег. скорости, 0-3300 об/мин)",1910,1785,10,1.54,0.004,6926619728408
164,,,Дрель ударная,,,,,,
165,,PSB13-C2,"Дрель ударная PSB13-C2 P.I.T. (780Вт, ключевой патрон 13мм, 0-3000 об/мин)",2685,2505,5,2.14,0.005,6971810444336
166,,PSB13-C6,"Дрель ударная PSB13-C6 P.I.T. (650Вт, ключевой патрон 13мм, 0-3000 об/мин)",2340,2185,5,2,0.005,6971810444343
